기업이름,분야,평점,연봉,2차산업군
파이온텍(주) ,제조/화학,2.8,3525,석유/화학/에너지
한백에프앤씨 ,제조/화학,2.4,3364,석유/화학/에너지
(사)한국건강기능식품협회 ,제조/화학,3.3,3791,석유/화학/에너지
노루오토코팅(주) ,제조/화학,3.4,5361,석유/화학/에너지
대원산업(주) ,제조/화학,1.9,3151,석유/화학/에너지
동양산업(주) ,제조/화학,1.9,3265,석유/화학/에너지
인터텍이티엘셈코(주) ,제조/화학,2.1,3430,석유/화학/에너지
대유 ,제조/화학,2.5,3694,석유/화학/에너지
범진아이엔디(주) ,제조/화학,2.4,3312,석유/화학/에너지
신일피엔에스(주) ,제조/화학,2.3,4157,석유/화학/에너지
엘지엠엠에이(주) ,제조/화학,3.0,4956,석유/화학/에너지
이데미쯔전자재료한국(주) ,제조/화학,1.8,3924,석유/화학/에너지
이코리아산업(주) ,제조/화학,2.4,3217,석유/화학/에너지
(주)미래엔서해에너지 ,제조/화학,3.1,3479,석유/화학/에너지
(주)켐트로스 ,제조/화학,2.3,3972,석유/화학/에너지
백광산업(주) ,제조/화학,3.7,5070,석유/화학/에너지
서울도시가스(주) ,제조/화학,4.0,4170,석유/화학/에너지
에버코스(주) ,제조/화학,2.5,3249,석유/화학/에너지
한국상하수도협회 ,제조/화학,2.5,4092,석유/화학/에너지
한국코스틱(주) ,제조/화학,2.2,2893,석유/화학/에너지
두리화학(주) ,제조/화학,2.1,3136,석유/화학/에너지
삼성정밀화학(주) ,제조/화학,2.8,5115,석유/화학/에너지
성보화학(주) ,제조/화학,2.9,4226,석유/화학/에너지
케이엔디이(주) ,제조/화학,2.4,2980,석유/화학/에너지
케이피엑스그린케미칼(주) ,제조/화학,3.5,4345,석유/화학/에너지
헬러만타이툰(유) ,제조/화학,1.9,3966,석유/화학/에너지
(주)서용엔지니어링 ,제조/화학,3.3,3531,석유/화학/에너지
경남에너지(주) ,제조/화학,3.9,4131,석유/화학/에너지
그린케미칼(주) ,제조/화학,3.3,4592,석유/화학/에너지
삼성의료고무(주) ,제조/화학,2.4,3444,석유/화학/에너지
케이엔더블유(주) ,제조/화학,2.1,3227,석유/화학/에너지
화이트코스팜(주) ,제조/화학,2.1,2711,석유/화학/에너지
(주)대륜이엔에스 ,제조/화학,4.0,5236,석유/화학/에너지
(주)로우카본 ,제조/화학,1.8,4227,석유/화학/에너지
국도첨단소재(주) ,제조/화학,2.0,3704,석유/화학/에너지
씨앤피차앤박화장품(주) ,제조/화학,2.7,4248,석유/화학/에너지
츄고쿠삼화페인트(주) ,제조/화학,3.4,4650,석유/화학/에너지
코스모신소재(주) ,제조/화학,3.3,4516,석유/화학/에너지
