기업이름,분야,평점,연봉,2차산업군
(주)테크노힐 ,제조/화학,3.0,3014,반도체/디스플레이
대우디스플레이(주) ,제조/화학,2.2,4543,반도체/디스플레이
목산전자(주) ,제조/화학,2.2,2897,반도체/디스플레이
에이디반도체(주) ,제조/화학,3.0,4539,반도체/디스플레이
옵틱라인즈(주) ,제조/화학,3.2,3381,반도체/디스플레이
이노웍스(주) ,제조/화학,2.0,3446,반도체/디스플레이
제타(주) ,제조/화학,2.0,2735,반도체/디스플레이
케이에스티(주) ,제조/화학,3.2,3370,반도체/디스플레이
한국킹유전자(주) ,제조/화학,2.2,2520,반도체/디스플레이
(주)알티솔루션 ,제조/화학,3.5,3726,반도체/디스플레이
(주)엠씨에스로직 ,제조/화학,2.8,4405,반도체/디스플레이
글라소울(주) ,제조/화학,2.5,2298,반도체/디스플레이
다윈텍(주) ,제조/화학,2.3,2799,반도체/디스플레이
디케이티(주) ,제조/화학,2.5,3338,반도체/디스플레이
베렉스(주) ,제조/화학,3.0,3318,반도체/디스플레이
아이디에스 ,제조/화학,1.5,4463,반도체/디스플레이
큐리어스(주) ,제조/화학,2.5,2525,반도체/디스플레이
크루셜칩스(주) ,제조/화학,2.3,2417,반도체/디스플레이
프리머스(주) ,제조/화학,2.3,3153,반도체/디스플레이
(주)아이렌 ,제조/화학,4.0,0,반도체/디스플레이
(주)퓨엠 ,제조/화학,2.0,2969,반도체/디스플레이
넥스템(주) ,제조/화학,3.0,1680,반도체/디스플레이
다모아전자(주) ,제조/화학,1.3,2374,반도체/디스플레이
디에스(주) ,제조/화학,1.7,3534,반도체/디스플레이
리지스(주) ,제조/화학,1.7,2925,반도체/디스플레이
메가텍미디어(주) ,제조/화학,2.0,3984,반도체/디스플레이
소담미디어(주) ,제조/화학,3.0,2650,반도체/디스플레이
아이텍테크널러지(주) ,제조/화학,1.7,3280,반도체/디스플레이
에스디티시스템즈 ,제조/화학,3.0,3240,반도체/디스플레이
에스아이포유(주) ,제조/화학,3.0,3536,반도체/디스플레이
옵티컴(주) ,제조/화학,2.7,3219,반도체/디스플레이
위즈덤세미컨덕터(주) ,제조/화학,1.7,4390,반도체/디스플레이
유플러스(주) ,제조/화학,2.3,6459,반도체/디스플레이
타이스일렉(주) ,제조/화학,3.3,2665,반도체/디스플레이
하이캔버스(주) ,제조/화학,2.3,2467,반도체/디스플레이
(주)나노엑스코리아 ,제조/화학,4.5,5371,반도체/디스플레이
(주)마스카 ,제조/화학,2.0,2456,반도체/디스플레이
(주)세진프리시젼 ,제조/화학,1.0,3425,반도체/디스플레이
(주)신희 ,제조/화학,3.5,0,반도체/디스플레이
