기업이름,분야,평점,연봉,2차산업군
효성건설(주) ,건설업,2.6,4304,건설업
(주)부동산플래닛파트너스 ,건설업,3.3,4279,건설업
(주)써치앤델브 ,건설업,2.5,2773,건설업
(주)컬리넌홀딩스 ,건설업,2.1,3593,건설업
가감디자인그룹(주) ,건설업,3.0,2996,건설업
넥서스환경디자인연구원(주) ,건설업,1.9,2856,건설업
동명전력(주) ,건설업,2.3,3128,건설업
상지엔지니어링건축사사무소(주) ,건설업,3.0,4001,건설업
신태양건설(주) ,건설업,1.5,3898,건설업
피코노스아시아(주) ,건설업,3.1,3089,건설업
(주)거광기업 ,건설업,2.3,3702,건설업
(주)대한종건 ,건설업,3.0,4656,건설업
(주)한강그룹 ,건설업,1.8,5563,건설업
(주)한일시스템엔지니어링 ,건설업,2.3,3487,건설업
대양종합건설(주) ,건설업,2.6,4043,건설업
라움디자인(주) ,건설업,1.9,4276,건설업
이에이디자인(주) ,건설업,2.0,2853,건설업
컬리어스인터내셔널코리아(주) ,건설업,2.6,4613,건설업
케이에이치건설(주) ,건설업,2.7,4349,건설업
한국도자기(주) ,건설업,2.3,3151,건설업
(주)단에이앤씨종합건축사사무소 ,건설업,2.5,2914,건설업
(주)케이알티씨 ,건설업,2.9,3939,건설업
(주)한일네트워크엔지니어링 ,건설업,3.2,3861,건설업
건물과사람들(주) ,건설업,3.0,3744,건설업
동대문구청 ,건설업,3.7,3486,건설업
동일토건(주) ,건설업,2.5,4580,건설업
디자인제이엔케이(주) ,건설업,2.3,3387,건설업
에이치플러스에코(주) ,건설업,2.0,4014,건설업
에코리드(주) ,건설업,2.9,3408,건설업
인들디자인(주) ,건설업,2.5,2466,건설업
(주)신한 ,건설업,2.4,3913,건설업
동양방식(주) ,건설업,2.7,3326,건설업
문화뱅크(주) ,건설업,1.8,2912,건설업
보루(주) ,건설업,2.3,2299,건설업
어드벤처닷케이알(주) ,건설업,1.9,2653,건설업
영진환경테크(주) ,건설업,2.3,3135,건설업
(주)동우이앤씨 ,건설업,2.8,3046,건설업
(주)두진건설 ,건설업,2.8,3851,건설업
(주)새길이엔시 ,건설업,3.2,3594,건설업
(주)컨텍 ,건설업,2.2,3533,건설업
(주)한국씨엠씨 ,건설업,2.7,3311,건설업
더본종합건설(주) ,건설업,2.5,3670,건설업
미동이엔씨(주) ,건설업,2.7,3951,건설업
삼일산업(주) ,건설업,2.4,4279,건설업
삼천리이에스(주) ,건설업,2.9,5018,건설업
팍스코이앤아이(주) ,건설업,1.5,2995,건설업
(주)경동건설 ,건설업,2.2,3696,건설업
(주)남양이엔에스 ,건설업,2.2,2447,건설업
(주)문창 ,건설업,1.4,2441,건설업
(주)신일 ,건설업,2.9,4636,건설업
(주)우리종합기술 ,건설업,2.5,2974,건설업
(주)이유디자인 ,건설업,3.7,3790,건설업
롯데기공 ,건설업,2.4,3643,건설업
범양공조산업(주) ,건설업,1.9,3740,건설업
비즈마컴(주) ,건설업,3.4,3182,건설업
셀콤(주) ,건설업,1.6,2188,건설업
예정엔지니어링건축사사무소(주) ,건설업,2.6,3308,건설업
자이씨앤에이(주) ,건설업,2.9,5518,건설업
한산씨엔에스(주) ,건설업,2.8,2884,건설업
(주)보운이피씨 ,건설업,2.5,3761,건설업
(주)아트포인트 ,건설업,2.8,3236,건설업
(주)에스텍코리아 ,건설업,2.6,2718,건설업
(주)행복플러스원 ,건설업,2.9,0,건설업
남명건설(주) ,건설업,1.4,2719,건설업
동희(주) ,건설업,3.0,3949,건설업
벽산건설(주) ,건설업,4.1,5178,건설업
셰어하우스우주(주) ,건설업,3.3,2791,건설업
써포텍(주) ,건설업,2.9,3547,건설업
엠디엠(주) ,건설업,3.3,3804,건설업
지에이치파트너즈(주) ,건설업,3.3,4563,건설업
(주)더부엔지니어링 ,건설업,4.3,3028,건설업
(주)세빛섬 ,건설업,3.0,3181,건설업
(주)솔라플레이 ,건설업,2.6,4340,건설업
(주)송학건설 ,건설업,2.6,3710,건설업
에스케이임업(주) ,건설업,3.1,4258,건설업
에코에너지홀딩스(주) ,건설업,2.5,2859,건설업
유닉스코리아(주) ,건설업,2.2,2581,건설업
파이런텍(주) ,건설업,3.3,2659,건설업
(주)삼영기업 ,건설업,2.6,3205,건설업
(주)씨티큐브 ,건설업,1.2,2735,건설업
(주)아지오디자인 ,건설업,2.2,2506,건설업
(주)엠디엠플러스 ,건설업,3.1,5475,건설업
(주)엠오에스강남 ,건설업,1.9,2649,건설업
나우인벤트(주) ,건설업,2.8,2343,건설업
두한테크 ,건설업,2.3,4093,건설업
비엔지컨설턴트 ,건설업,1.9,3094,건설업
서본건설(주) ,건설업,1.8,4219,건설업
주원조경(주) ,건설업,3.2,3214,건설업
티이씨건설(주) ,건설업,3.5,4061,건설업
파슨스브링커호프아시아리미티드(주) ,건설업,3.1,4542,건설업
하우텍씨엔알건설(주) ,건설업,2.6,3173,건설업
한일건설(주) ,건설업,3.5,3762,건설업
(주)더함에스디 ,건설업,2.9,2919,건설업
(주)동서엔지니어링 ,건설업,2.5,3578,건설업
(주)엠비앤홀딩스 ,건설업,3.1,5288,건설업
(주)이수에이엠씨 ,건설업,2.0,4990,건설업
