,기업이름,고용형태,연봉,기업주소,키워드,담당업무,필요역량
14,(주)조인스에이치알코리아,경력3년↑,, 서울특별시 서초구 서운로 160,자율주행,연구원·연구개발,"['자율주행', 'DSP', '전파', '센서', '임베디드', '학사', 'Radar', '전자', '레이더', 'S/W', '전기', '시스템', 'RADAR', 'ADAS', '기능안전', '컴퓨터공학', '영어', '제어']"
15,(주)조인스에이치알코리아,경력3년↑,, 서울특별시 서초구 서운로 160,자율주행,"연구원·연구개발, 시스템프로그래머","['자율주행', 'SW', '센서', '전자', 'RADAR', 'ADAS', '기능안전', 'S/W', '전파', 'Radar', '전기', '신호처리', '알고리즘', 'C', 'AUTOSAR', '레이더', '영어', '컴퓨터공학', '제어', 'DSP', '학사', 'Firmware', '시스템', 'Python', '임베디드', 'Safety']"
16,(주)에바,신입/경력1~10년,," 경기도 성남시 수정구 창업로 42 (시흥동,판교 제2테크노밸리 경기 기업성장센터) 919호",자율주행,"빅데이터·AI(인공지능), 전자·반도체, 응용프로그래머","['자율주행', 'Optimization', 'SW', 'ROS', '알고리즘']"
17,(주)뷰런테크놀로지,신입/경력(연차무관),," 서울특별시 서초구 강남대로 311 (서초동,한화생명보험빌딩)",자율주행,빅데이터·AI(인공지능),"['자율주행', 'C', 'IMU', '프로그래밍', 'LiDAR', 'SLAM', 'Mapping', '석사', '자료구조', 'camera', 'ADAS', '컴퓨터공학', '알고리즘', 'Localization']"
18,코가로보틱스(주),신입/경력(연차무관),," 서울특별시 성동구 왕십리로 222 516호(사근동,한양대학교 에이치아이티)",자율주행,"빅데이터·AI(인공지능), 소프트웨어·하드웨어",['알고리즘']
19,코가로보틱스(주),신입/경력(연차무관),," 서울특별시 성동구 왕십리로 222 516호(사근동,한양대학교 에이치아이티)",자율주행,"빅데이터·AI(인공지능), 소프트웨어·하드웨어",['알고리즘']
20,(주)피플케어코리아,경력7년↑,," 서울특별시 강남구 영동대로 511 (삼성동,트레이드타워) 27층, 33층",자율주행,"ERP·시스템분석·설계, 통신·모바일","['플랫폼', '자율주행', '모빌리티', '서비스', '시스템', '인프라']"
21,(주)피플케어코리아,경력5년↑,," 서울특별시 강남구 영동대로 511 (삼성동,트레이드타워) 27층, 33층",자율주행,"ERP·시스템분석·설계, 통신·모바일","['플랫폼', '자율주행', '모빌리티', '프로젝트', '서비스']"
22,체이시로보틱스(주),신입/경력(연차무관),, 서울특별시 서초구 동산로19길 47 2층 (양재동),자율주행,빅데이터·AI(인공지능),['자율주행']
23,포티투닷 주식회사,경력(연차무관),," 서울특별시 강남구 남부순환로 2621 (도곡동,디앤오강남빌딩) 9층",자율주행,"조사·분석·통계, 마케팅, 유통·상품기획·MD","['자율주행', '프로젝트', 'IT', 'ai', '서비스', '시스템', 'vehicle', '컴퓨터공학', '영어']"
24,매버릭컨설팅(주),경력15~30년,," 서울특별시 서초구 강남대로 309 2016호(서초동,코리아비지니스센타)",자율주행,기술영업,"['ECU', '자율주행', 'SWITCH', 'ADAS']"
25,(주)에이알247,신입/경력(연차무관),," 경기도 성남시 분당구 성남대로 69 (구미동,로드랜드EZ타워) 1층",자율주행,"품질관리, 생산·조립·가공·포장·검품",['자율주행']
26,(주)에이알247,신입/경력(연차무관),," 경기도 성남시 분당구 성남대로 69 (구미동,로드랜드EZ타워) 1층",자율주행,"품질관리, 생산·조립·가공·포장·검품",['자율주행']
